listing_id,date
14804837,2017-06-28
14804837,2017-07-01
14804837,2017-07-03
14804837,2017-07-04
14804837,2017-07-05
14804837,2017-07-08
14804837,2017-07-11
14804837,2017-07-12
14804837,2017-07-13
14804837,2017-07-17
14804837,2017-07-20
14804837,2017-07-21
14804837,2017-07-24
14804837,2017-07-26
14804837,2017-07-30
14804837,2017-08-01
14804837,2017-08-03
14804837,2017-08-05
14804837,2017-08-08
14804837,2017-08-10
14804837,2017-08-12
14804837,2017-08-26
14804837,2017-09-01
14804837,2017-09-03
14804837,2017-09-07
14804837,2017-09-09
14804837,2017-09-11
14804837,2017-09-13
14804837,2017-09-19
14804837,2017-09-20
14804837,2017-09-24
14804837,2017-09-28
14804837,2017-09-30
14804837,2017-10-03
14804837,2017-10-08
14804837,2017-10-14
14804837,2017-10-16
14804837,2017-10-19
14804837,2017-10-22
14804837,2017-10-25
14804837,2017-10-29
14804837,2017-11-12
14804837,2017-11-14
14804837,2017-12-03
14804837,2017-12-05
14804837,2017-12-08
14804837,2017-12-10
14804837,2017-12-13
14804837,2017-12-17
14804837,2017-12-21
14804837,2017-12-29
14804837,2018-01-01
14804837,2018-01-02
14804837,2018-01-07
14804837,2018-01-14
14804837,2018-01-15
14804837,2018-01-18
14804837,2018-01-21
14804837,2018-01-22
14804837,2018-02-01
14804837,2018-02-02
14804837,2018-02-04
14804837,2018-02-10
14804837,2018-02-13
14804837,2018-02-15
14804837,2018-02-18
14804837,2018-02-24
14804837,2018-02-26
14804837,2018-03-02
14804837,2018-03-04
14804837,2018-03-07
14804837,2018-03-12
14804837,2018-03-13
14804837,2018-03-14
14804837,2018-03-16
14804837,2018-03-18
14804837,2018-03-22
14804837,2018-03-25
14804837,2018-03-28
14804837,2018-03-30
14804837,2018-04-03
14804837,2018-04-06
14804837,2018-04-09
15165034,2016-10-24
15165034,2016-10-28
15165034,2016-11-06
15165034,2016-11-09
15165034,2016-11-11
15165034,2016-11-12
15165034,2016-11-13
15165034,2016-11-14
15165034,2016-11-16
15165034,2016-11-17
15165034,2016-11-18
15165034,2016-11-19
15165034,2016-11-20
15165034,2016-11-21
15165034,2016-11-22
15165034,2016-11-26
15165034,2016-11-27
15165034,2016-11-29
15165034,2016-11-30
15165034,2016-12-01
15165034,2016-12-02
15165034,2016-12-05
15165034,2016-12-06
15165034,2016-12-09
15165034,2016-12-16
15165034,2016-12-17
15165034,2016-12-19
15165034,2016-12-24
15165034,2016-12-25
15165034,2016-12-26
15165034,2016-12-27
15165034,2016-12-28
15165034,2016-12-30
15165034,2016-12-31
15165034,2017-01-02
